,CONT_ID,GENDER,AGE_YEARS,HIGHEST_EDU,ANNUAL_INVEST,ANNUAL_INCOME,ACTIVITY_LEVEL,CHURN
0,1009548420,0,35.88,1,0.0,17054.0,3,0
1,1009548430,1,41.45,1,0.0,13180.0,4,0
2,1009548440,0,57.86,4,0.0,21009.0,2,0
3,1009548450,1,34.14,1,0.0,20766.0,4,1
4,1009548460,1,41.89,4,0.0,22140.0,4,0
5,1009548470,0,33.18,1,0.0,20564.0,1,1
6,1009548480,0,44.8,1,0.0,21858.0,1,1
7,1009548490,0,68.87,1,0.0,37425.0,1,1
8,1009548500,1,80.13,4,0.0,17753.0,2,0
9,1009548510,0,42.11,1,0.0,20697.0,1,1
10,1009548520,0,41.48,2,82776.0,177542.0,2,1
11,1009548530,1,20.67,4,7236.0,51887.0,5,0
12,1009548540,1,42.25,1,0.0,34117.0,3,0
13,1009548550,1,30.94,4,0.0,19902.0,2,0
14,1009548560,1,60.71,4,0.0,19169.0,2,0
15,1009548570,1,30.66,1,0.0,14905.0,5,0
16,1009548580,1,61.21,4,6502.0,33629.0,1,0
17,1009548590,1,24.0,4,11950.0,37871.0,2,1
18,1009548600,0,35.8,1,0.0,13852.0,4,0
19,1009548610,1,45.11,3,102629.0,218754.0,1,1
20,1009548620,0,76.62,1,0.0,19589.0,2,0
21,1009548630,0,51.28,4,0.0,16529.0,2,0
22,1009548640,1,62.26,1,0.0,33339.0,2,1
23,1009548650,1,34.92,4,0.0,15532.0,1,1
24,1009548660,1,57.95,1,0.0,13130.0,3,0
25,1009548670,1,45.45,4,0.0,35287.0,1,0
26,1009548680,0,76.35,1,0.0,22480.0,4,0
27,1009548690,0,67.14,1,0.0,21107.0,3,0
28,1009548700,0,57.66,1,0.0,28700.0,5,0
29,1009548710,1,62.85,1,0.0,14275.0,1,0
30,1009548720,0,21.72,4,0.0,13809.0,1,1
31,1009548730,1,26.15,2,9608.0,26666.0,1,1
32,1009548740,1,47.64,1,0.0,17899.0,1,1
